Id,Worker Id,Name,Assigned Smart Guard,Assigned Smart Watch,Assigned Gas Detection Sensor,Status,Parent Site,Gender,Company Id,Allowed Sites,Comment,Mobile,Email,Blood Group,Worker Type,Emergency Name,Emergency Mobile,Emergency Relation,Address,Nationality,Passport Number,Identity Type,NID,Assigned By,Last Online At,Present Today,Online Now,Created At,Updated At
12589,235987,Omar,58208A8800850100,68208C9D00C00161,5820AA1002C00S85,Active,HGP,Male,0,HGP,,594828610,OmarTest@gmail.com,A+,Labourer,Eman,949909,N/A,HUGRS,Saudi,,NIN,1100198290,Admin,-,-,-,7/3/2022 12:14,8/21/2022 17:05
12578,235988,Moustafa,58208A8800850101,68208C9D00C00162,5820AA1002C00S86,Active,HUGRS,Male,455,HUGRS,,594828611,MoustafaTest@gmail.com,A-,Civil Supervisor,Mohamed,503235963,Brother,"Zahraa Nasr City, 63 Ahmed El Zomor",Saudi,,NIN,1010101013,siteadmin,8/21/2022 17:39,No,No,7/3/2022 11:57,8/23/2022 16:16
12548,235989,Omar,58208A8800850102,68208C9D00C00163,5820AA1002C00S87,Active,HUGRS,Male,0,HUGRS,,594828612,OmarTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198290,siteadmin,8/22/2022 11:10,No,No,6/12/2022 10:25,8/22/2022 11:10
12542,235990,AL-DOSSARI,58208A8800850103,68208C9D00C00164,5820AA1002C00S88,Active,HUGRS,Male,0,HUGRS,,594828613,AL-DOSSARITest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198284,siteadmin,7/4/2022 7:10,No,No,6/12/2022 10:24,7/4/2022 7:10
12541,235991,Abdelwahab,58208A8800850104,68208C9D00C00165,5820AA1002C00S89,Active,HUGRS,Male,0,HUGRS,,594828614,AbdelwahabTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198283,siteadmin,7/3/2022 13:52,No,No,6/12/2022 10:24,7/3/2022 13:52
12540,235992,Shaekawy,58208A8800850105,68208C9D00C00166,5820AA1002C00S90,Active,HUGRS,Male,0,HUGRS,,594828615,ShaekawyTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198282,siteadmin,8/22/2022 11:55,No,No,6/12/2022 10:24,8/22/2022 11:55
12539,235993,Zayat,58208A8800850106,68208C9D00C00167,5820AA1002C00S91,Active,HUGRS,Male,0,HUGRS,,594828616,ZayatTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198281,siteadmin,7/4/2022 6:41,No,No,6/12/2022 10:24,7/4/2022 6:41
12538,235994,Omar,58208A8800850107,68208C9D00C00168,5820AA1002C00S92,Active,HUGRS,Male,0,HUGRS,,594828617,OmarTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198280,siteadmin,7/4/2022 6:41,No,No,6/12/2022 10:24,7/4/2022 6:41
12536,235995,Hossam,58208A8800850108,68208C9D00C00169,5820AA1002C00S93,Active,HUGRS,Male,0,HUGRS,,594828618,HossamTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198278,siteadmin,7/4/2022 7:10,No,No,6/12/2022 10:24,7/4/2022 7:10
12535,235996,Sayed,58208A8800850109,68208C9D00C00170,5820AA1002C00S94,Active,HUGRS,Male,0,HUGRS,,594828619,SayedTest@gmail.com,A+,Labourer,check,949909,N/A,HUGRS,Saudi,,NIN,1100198277,siteadmin,7/4/2022 7:01,No,No,6/12/2022 10:24,7/4/2022 7:01
